jqr,esp
"Ch’araw utki","Caballo existe"
"Uk”ap” qiwja","Todo pasto"
"Palshki.","Consume."
"Ukaq jusawa.","Esa es la hoz."
"May wallmichiw utki","Hay una muchacha"
"Jayrki jayrki","Ella baila y bailando"
"japiwt’ki.","Se empreña."
"Quwas uka.","¿Que cosa es eso? "
"Musma.","Adivina."
"Ukaq qapuwa.","Esa es la rueca."
"May apak utki","Hay un vieja"
"Najraps anhqankiri","Su lengua está afuera"
"Chanhqpanqa","Cuando golpea"
"Jaqkuna ujtarqayki.","La gente viene."
"Kampnawa.","Esa es Campana."
"May wallmichuña","Una chiquita"
"Janhq’uyjanhq’u","Muy muy blanca"
"Ujtki ujtki","Se viene y viene"
"Jatz jatzarki.","Derrama lágrimas."
"Ukaq rikisunhawa.","Ese es requezón."
"May lluqalluñaq","Un muchachito"
"Janhq’uyjanhq’u","Muy blanco"
"Jatzkipatx tukshki.","Se acaba llorando."
"Ukaq wilawa.","Esa es una vela."
"May wallmichuña","Una muchachita"
"Utap apki","Carga su casa y"
"T”akip” nurki.","Hace su camino."
"Ukaq naktawa.","Ese es caracol baboso."
